Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,# of Customers Affected Cleaned,Tags,Regions_raw,Region
Severe Weather - Ice/Snow,2013,12/22/2013,3:28 AM,12/28/2013,11:45 PM,Consumers Energy Co,"Southern Lower Penninsula, Michigan",RFC,Unknown,"50,000","50,000","severe weather, winter storm","Southern Lower Penninsula, Michigan",Michigan
Severe Weather - Ice/Snow,2013,12/22/2013,6:30 AM,12/25/2013,5:12 AM,Detroit Edison Co,Michigan,RFC,350,"140,735","140,735","severe weather, winter storm",Michigan,Michigan
Fuel Supply Emergencies (Coal),2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,City of Garland,Texas,TRE,Unknown,Unknown,,"fuel supply emergency, coal",Texas,Texas
Fuel Supply Emergencies (Coal),2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,,"fuel supply emergency, coal",Texas,Texas
Suspected Physical Attack,2013,12/10/2013,1:01 AM,12/11/2013,1:01 AM,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,,"vandalism, physical",Arizona,Arizona
Severe Weather - Ice/Snow,2013,12/9/2013,6:54 AM,12/9/2013,2:22 PM,Dominion Virginia Power,Virginia Service Territory,SERC,293,"88,000","88,000","severe weather, winter storm",Virginia Service Territory,Virginia
Severe Weather - Ice/Snow,2013,12/6/2013,1:51 AM,12/11/2013,12:00 PM,Oncor Electric Delivery Company LLC,"Greater Houston, Texas",TRE,Unknown,"881,000","881,000","severe weather, winter storm",Texas,Texas
"Physical Attack - Vandalism, Theft",2013,12/6/2013,8:47 AM,12/6/2013,8:49 AM,PacifiCorp,"Saratoga, Utah",WECC,,,,"vandalism, physical","Saratoga, Utah",Utah
Load Shed 100+ MW,2013,12/4/2013,5:00 AM,12/4/2013,4:17 PM,WECC - Loveland,"Idaho Falls Area Idaho, Utah-Idaho Border Utah",WECC,150,Unknown,,load shedding,"Idaho Falls Area Idaho, Utah-Idaho Border Utah",Utah
Physical Attack - Vandalism,2013,11/24/2013,7:38 AM,11/24/2013,7:39 AM,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,,,,"vandalism, physical",Salt Lake County Utah,Utah
Severe Weather - Wind Storm,2013,11/21/2013,7:45 PM,11/22/2013,3:20 AM,Pacific Gas & Electric Co,Northern California,WECC,150,"89,500","89,500","severe weather, wind",Northern California,California
Physical Attack - Vandalism,2013,11/20/2013,3:08 AM,11/20/2013,3:09 AM,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,Unknown,Unknown,,"vandalism, physical",Salt Lake County Utah,Utah
Severe Weather - Thunderstorms,2013,11/17/2013,2:31 PM,11/17/2013,10:30 PM,Commonwealth Edison Co,Entire ComEd Territory Illinois,RFC,Unknown,"190,000","190,000","severe weather, thunderstorm",Illinois,Illinois
Severe Weather - Ice and Snow Storm,2013,11/17/2013,7:00 AM,11/20/2013,6:54 PM,Detroit Edison Co,Michigan,RFC,Unknown,"325,325","325,325","severe weather, winter storm",Michigan,Michigan
Severe Weather - Thunderstorms,2013,11/17/2013,4:19 PM,11/18/2013,6:00 PM,American Electric Power,"Indiana, Michigan",RFC,Unknown,"77,346","77,346","severe weather, thunderstorm","Indiana, Michigan",Michigan
Severe Weather - Thunderstorms,2013,11/17/2013,4:47 PM,11/20/2013,4:47 PM,Duke Energy Midwest,Central Indiana,RFC,Unknown,"61,705","61,705","severe weather, thunderstorm",Central Indiana,Indiana
Severe Weather - Thunderstorms,2013,11/17/2013,4:45 PM,11/21/2013,4:45 PM,Consumers Energy Co,Entire Lower Peninsula Michigan,RFC,Unknown,"50,000","50,000","severe weather, thunderstorm",Entire Lower Peninsula Michigan,Michigan
System-wide voltage reductions of 3 percent or more,2013,11/17/2013,12:35 PM,11/17/2013,1:40 PM,City of Rochelle,"Rochelle, Indiana",RFC,38,"7,500","7,500",voltage reduction,"Rochelle, Indiana",Indiana
Severe Weather - Thunderstorms,2013,11/17/2013,1:06 PM,11/20/2013,1:06 PM,Northern Indiana Public Service Company,North Central Indiana,RFC,Unknown,"75,065","75,065","severe weather, thunderstorm",North Central Indiana,Indiana
Severe Weather - Tornadoes,2013,11/17/2013,4:47 PM,11/20/2013,11:59 AM,Duke Energy Indiana Inc,Central Indiana,RFC,535,"61,705","61,705","severe weather, tornado",Central Indiana,Indiana
Severe Weather - Tornadoes,2013,11/17/2013,12:35 PM,11/20/2013,11:00 AM,Ameren Missouri,"Central Missouri, Central Illinois",SERC,Unknown,"200,000","200,000","severe weather, tornado","Central Missouri, Central Illinois",Missouri
Physical Attack - Vandalism,2013,11/16/2013,3:15 PM,11/16/2013,3:16 PM,PacifiCorp,"Salt Lake County, Utah",WECC,,,,"vandalism, physical","Salt Lake County, Utah",Utah
Electrical System Separation (Islanding),2013,11/12/2013,2:04 PM,11/12/2013,2:05 PM,Pacific Gas & Electric Co,"Valle, California",WECC,55,"48,400","48,400",islanding,"Valle, California",California
Loss of Power from Wholesale Provider; Major Distribution Disruption,2013,11/12/2013,9:14 AM,11/12/2013,10:30 AM,"Farmers' Electric Coop, Inc",Eastern Central New Mexico,SPP,Unknown,Unknown,,fuel supply emergency,Eastern Central New Mexico,Mexico
Physical Attack,2013,11/5/2013,10:10 AM,11/7/2013,10:10 AM,Duke Energy Indiana Inc,Indiana,RFC,Unknown,Unknown,,"vandalism, physical",Indiana,Indiana
Physical Attack - Vandalism,2013,11/4/2013,9:04 AM,11/4/2013,9:05 AM,ISO New England,Connecicut,NPCC,Unknown,Unknown,,"vandalism, physical",Connecticut,Connecticut
Physical Attack - Vandalism,2013,11/2/2013,8:25 AM,11/2/2013,8:26 AM,PacifiCorp,"Salt Lake City, Utah",WECC,,,,"vandalism, physical","Salt Lake City, Utah",Utah
Severe Weather - Heavy Winds,2013,11/2/2013,12:00 AM,11/4/2013,6:00 AM,Puget Sound Energy,"King, Whatcom, and Skagit, Washington",WECC,Unknown,"105,000","105,000","severe weather, wind","King, Whatcom, and Skagit, Washington",Washington
Physical Attack - Vandalism,2013,11/1/2013,1:26 PM,11/1/2013,1:27 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,Unknown,Unknown,,"vandalism, physical","Wilmington, Delaware",Delaware
Severe Weather - Hail Storm,2013,10/27/2013,4:27 AM,10/27/2013,10:27 PM,CenterPoint Energy,"Houston, Texas",TRE,Unknown,"171,117","171,117","severe weather, hail",Texas,Texas
Suspected Physical Attack,2013,10/26/2013,7:13 AM,10/26/2013,7:14 AM,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,,"vandalism, physical",Arizona,Arizona
Electrical System Separation (Islanding),2013,10/21/2013,5:18 AM,10/21/2013,5:33 AM,Pacific Gas & Electric Co,Location Unknown,WECC,115,433,433,islanding,Location Unknown,
Physical Attack,2013,10/19/2013,2:32 PM,10/19/2013,10:00 PM,Pacific Gas & Electric Co,California,WECC,Unknown,Unknown,,"vandalism, physical",California,California
Cyber Event with Potential to Cause Impact,2013,10/16/2013,11:15 AM,10/16/2013,6:00 PM,Duke Energy Progress,"Roxboro Plant, North Carolina",SERC,0,0,0,"vandalism, cyber","Roxboro Plant, North Carolina",North Carolina
Physical Attack,2013,10/11/2013,2:30 PM,10/11/2013,6:30 PM,MISO - Entergy,"Keo, Arkansas",SERC,Unknown,Unknown,,"vandalism, physical","Keo, Arkansas",Arkansas
Physical Attack,2013,10/6/2013,7:25 AM,10/6/2013,9:15 AM,MISO - AECC,"Jacksonville, Arkansas",SPP,Unknown,"9,200","9,200","vandalism, physical","Jacksonville, Arkansas",Arkansas
Physcial Attack; Sabotage,2013,9/29/2013,12:00 AM,9/29/2013,1:00 AM,Entergy Systems Incorporated,Cabot Arkansas,SERC,Unknown,Unknown,,"vandalism, physical",Cabot Arkansas,Arkansas
Severe Weather - Thunderstorms,2013,9/11/2013,4:00 PM,9/15/2013,4:00 PM,Detroit Edison Co,Southeastern Michigan,RFC,400,"75,000","75,000","severe weather, thunderstorm",Southeastern Michigan,Michigan
Load Shed of 100+ MW,2013,9/10/2013,5:42 PM,9/11/2013,12:02 AM,PJM Interconnection,"Erie, Pennsylvania",RFC,105,Unknown,,load shedding,"Erie, Pennsylvania",Pennsylvania
Severe Weather - Thunderstorms,2013,8/30/2013,7:30 PM,8/31/2013,1:30 AM,Exelon Corporation/ComEd,Entire ComEd territory Illinois,RFC,Unknown,"157,000","157,000","severe weather, thunderstorm",Illinois,Illinois
Electrical System Separation (Islanding); Severe Weather,2013,8/29/2013,2:57 PM,8/29/2013,3:29 PM,Xcel Energy,"Ashland, Wisconsin",MRO,15,"7,000","7,000","islanding, severe weather","Ashland, Wisconsin",Wisconsin
Physcial Attack; Vandalism,2013,8/29/2013,9:50 AM,8/29/2013,9:50 AM,Empire District Electric Co,"Joplin, Missouri",SPP,Unknown,Unknown,,"vandalism, physical","Joplin, Missouri",Missouri
Physcial Attack; Vandalism,2013,8/28/2013,9:30 AM,8/28/2013,9:31 AM,PacifiCorp,Sweetwater County Wyoming,WECC,,,,"vandalism, physical",Sweetwater County Wyoming,Wyoming
Physcial Attack; Vandalism,2013,8/26/2013,8:15 PM,8/26/2013,8:16 PM,Tacoma Power (TPWR),Tacoma Washington,WECC,Unknown,Unknown,,"vandalism, physical",Tacoma Washington,Washington
Physcial Attack; Vandalism,2013,8/23/2013,7:30 AM,8/23/2013,7:31 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,Unknown,,,"vandalism, physical","New Castle, Delaware",Delaware
Physcial Attack; Vandalism,2013,8/22/2013,12:55 PM,8/22/2013,2:45 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,Unknown,Unknown,,"vandalism, physical","New Castle, Delaware",Delaware
Physcial Attack; Sabotage,2013,8/22/2013,8:40 AM,8/22/2013,11:49 AM,Constellation Energy Control & Dispatch - for Gila River,"Gila River, Arizona",WECC,,,,"vandalism, physical","Gila River, Arizona",Arizona
Physcial Attack; Sabotage,2013,8/21/2013,2:00 PM,8/21/2013,2:01 PM,Entergy Arkansas Inc,"Cabot, Arkansas",SERC,,,,"vandalism, physical","Cabot, Arkansas",Arkansas
Severe Weather - Lightning Strike,2013,8/19/2013,7:06 PM,8/20/2013,6:02 AM,Southern California Edison Co,Central California,WECC,685,"124,000","124,000","severe weather, thunderstorm",Central California,California
Severe Weather - Thunderstorms,2013,8/16/2013,4:58 PM,8/17/2013,11:58 PM,CenterPoint Energy,Houston Service Area Texas,TRE,Unknown,"219,681","219,681","severe weather, thunderstorm",Texas,Texas
Suspicious Activity,2013,8/12/2013,11:55 AM,8/12/2013,11:59 AM,PacifiCorp,"Portland, Oregon",WECC,Unknown,Unknown,,vandalism,"Portland, Oregon",Oregon
Severe Weather - Thunderstorms,2013,8/7/2013,12:15 AM,8/7/2013,9:27 PM,We Energies,Eastern Central Wisconsin,MRO,220,"51,160","51,160","severe weather, thunderstorm",Eastern Central Wisconsin,Wisconsin
Physcial Attack; Vandalism,2013,8/7/2013,2:30 PM,8/8/2013,1:00 PM,"Caithness Shepherds Flat, LLC","Arlington, Oregon",WECC,Unknown,Unknown,,"vandalism, physical","Arlington, Oregon",Oregon
Fuel Supply Emergency (Natural Gas & Fuel Oil),2013,8/7/2013,7:30 AM,8/7/2013,9:14 AM,Wisconsin Public Service Corp,"Green Bay, Wisconsin",MRO,Unknown,Unknown,,"fuel supply emergency, natural gas","Green Bay, Wisconsin",Wisconsin
Physcial Attack; Vandalism,2013,8/6/2013,4:00 PM,8/6/2013,5:32 PM,El Paso Electric,"Holloman Air Force Base, New Mexico",WECC,Unknown,Unknown,,"vandalism, physical","Holloman Air Force Base, New Mexico",Mexico
Electrical System Separation (Islanding); Severe Weather,2013,8/5/2013,6:35 PM,8/5/2013,6:45 PM,WECC RC Vancouver,"Vancouver, British Columbia",WECC,Unknown,Unknown,,"islanding, severe weather",Canada,Canada
Physical Attack; Vandalism,2013,8/4/2013,3:00 AM,8/4/2013,4:00 AM,Pacificorp,Utah,WECC,,,,"vandalism, physical",Utah,Utah
Electrical System Separation (Islanding,2013,8/1/2013,6:54 PM,8/1/2013,7:37 PM,WECC RC Vancouver,Western British Columbia,WECC,420,Unknown,,islanding,Canada,Canada
Physical Attack; Copper Theft,2013,8/1/2013,11:00 AM,8/1/2013,4:00 PM,Central Hudson Gas & Electric,"Newburgh, New York",NPCC,,,,"vandalism, physical","Newburgh, New York",New York
Loss of 300+ MW Load,2013,8/1/2013,11:19 PM,8/2/2013,12:49 AM,Florida Power & Light Co,Daytona Beach Florida,FRCC,297,"104,498","104,498",load shedding,Ohio,Ohio
Physical Attack; Vandalism,2013,7/25/2013,1:10 PM,7/25/2013,1:15 PM,Tacoma Power (TPWR),"Polk Substation, Tacoma Washington",WECC,,,,"vandalism, physical","Polk Substation, Tacoma Washington",Washington
Severe Weather - Thunderstorms,2013,7/23/2013,11:38 PM,7/25/2013,4:30 AM,American Electric Power,"Tulsa, Oklahoma",SPP,500,"92,748","92,748","severe weather, thunderstorm","Tulsa, Oklahoma",Oklahoma
Physical Attack; Vandalism,2013,7/22/2013,7:00 AM,7/22/2013,3:00 PM,Terra-Gen Operating Company,California,WECC,Unknown,Unknown,,"vandalism, physical",California,California
Severe Weather - Thunderstorms,2013,7/19/2013,10:30 PM,7/21/2013,8:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,Unknown,"74,300","74,300","severe weather, thunderstorm",New York,New York
Severe Weather - Thunderstorms,2013,7/19/2013,6:00 PM,7/20/2013,9:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,"156,627","156,627","severe weather, thunderstorm",Michigan,Michigan
Public Appeal - Heatwave,2013,7/18/2013,11:30 AM,7/19/2013,5:30 PM,Niagara Mohawk Power Corp.,Upstate New York,NPCC,Unknown,Unknown,,"public appeal, severe weather, heat",Upstate New York,New York
Equipment Failure,2013,7/18/2013,11:45 PM,7/19/2013,10:05 AM,San Diego Gas & Electric Co,Southern Orange County California,WECC,200,"123,000","123,000",equipment failure,Southern Orange County California,California
Physical Attack; Vandalism,2013,7/18/2013,3:15 AM,7/18/2013,3:59 AM,PacifiCorp,Utah,WECC,,,,"vandalism, physical",Utah,Utah
Fuel Supply Emergency (Natural Gas),2013,7/17/2013,3:30 PM,7/19/2013,6:45 AM,Long Island Power Authority,"Holtsville, New York",NPCC,417,Unknown,,"fuel supply emergency, natural gas","Holtsville, New York",New York
Physical Attack; Vandalism,2013,7/12/2013,10:00 AM,7/12/2013,10:01 AM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,,"vandalism, physical",Washington,Washington
Physical Attack; Vandalism,2013,7/11/2013,11:20 PM,7/14/2013,3:22 PM,Arizona Public Service Co,Arizona,WECC,455,Unknown,,"vandalism, physical",Arizona,Arizona
Severe Weather - Thunderstorms,2013,7/10/2013,5:30 PM,7/11/2013,8:00 PM,American Electric Power,AEP Ohio Power Footprint,RFC,,"122,314","122,314","severe weather, thunderstorm",AEP Region,AEP Region
Physical Attack; Copper Theft,2013,7/10/2013,2:30 PM,7/10/2013,2:45 PM,ISO New England,"Boston, Massachusetts",NPCC,0,0,0,"vandalism, physical","Boston, Massachusetts",Massachusetts
Physical Attack; Vandalism,2013,7/5/2013,12:05 AM,7/5/2013,1:51 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"2,500","2,500","vandalism, physical",California,California
Voltage Reduction; Line and Generator Trip,2013,7/3/2013,12:04 PM,7/3/2013,12:48 PM,Puerto Rico Electric Power Authority,System-wide Puerto Rico,PR,480,"393,000","393,000","voltage reduction, generator trip",System-wide Puerto Rico,Puerto Rico
Suspected Physical Attack,2013,7/3/2013,9:34 AM,7/3/2013,10:52 AM,Sacramento Municipal Utility District,Sacramento California,WECC,0,0,0,"vandalism, physical",California,California
Load Shed 100+MW,2013,7/2/2013,2:20 PM,7/5/2013,3:30 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,200,Unknown,,load shedding,"Alberta, Canada",Canada
Equipment Failure,2013,6/28/2013,6:02 PM,6/28/2013,8:46 PM,Southern California Edison Co,"Los Angeles and Orange Counties, California",WECC,240,"65,255","65,255",equipment failure,California,California
Physical Attack; Vandalism,2013,6/28/2013,5:14 PM,6/28/2013,5:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,,"vandalism, physical",New Castle Delaware,Delaware
Physical Attack; Vandalism,2013,6/28/2013,1:00 PM,6/28/2013,1:01 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,,"vandalism, physical",Vermont,Vermont
Physical Attack; Vandalism,2013,6/27/2013,1:10 AM,6/27/2013,2:45 AM,Potomac Electric Power Company,"Richie Substation,Seat Pleasant, Maryland",RFC,Unknown,Unknown,,"vandalism, physical","Richie Substation,Seat Pleasant, Maryland",Maryland
Severe Weather - Thunderstorms,2013,6/27/2013,5:00 PM,6/28/2013,12:00 AM,Detroit Edison Co,South Eastern Michigan,RFC,Unknown,"138,000","138,000","severe weather, thunderstorm",South Eastern Michigan,Michigan
Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/25/2013,5:46 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"283,451","283,451","severe weather, thunderstorm",Illinois,Illinois
Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/26/2013,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"86,615","86,615","severe weather, thunderstorm",Indiana,Indiana
Severe Weather - Fog,2013,6/23/2013,9:20 PM,6/24/2013,1:35 AM,Pacific Gas & Electric Co,Central Coast California,WECC,Unknown,"148,000","148,000","severe weather, fog",Central Coast California,California
Physical Attack; Vandalism,2013,6/22/2013,4:59 AM,6/22/2013,9:28 PM,PacifiCorp,Medford Oregon,WECC,,,,"vandalism, physical",Medford Oregon,Oregon
Suspected Physical Attack,2013,6/22/2013,4:12 PM,6/22/2013,5:45 PM,NorthWestern Energy LLC - (MT),Eastern Montana,WECC,Unknown,Unknown,,"vandalism, physical",Eastern Montana,Montana
Physical Attack; Vandalism,2013,6/21/2013,11:14 PM,6/21/2013,11:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,,"vandalism, physical",New Castle Delaware,Delaware
Suspected Cyber Attack,2013,6/21/2013,8:31 AM,10/30/2013,2:09 PM,ITC Transmission,"Michigan, Iowa",MRO,Unknown,Unknown,,"vandalism, cyber","Michigan, Iowa",Michigan
Physical Attack; Vandalism & Sabotage,2013,6/21/2013,7:40 AM,6/21/2013,12:14 PM,"Valley Electric Assn, Inc",Pahrump Nevada,WECC,Unknown,"1,100","1,100","vandalism, physical",Pahrump Nevada,Nevada
Severe Weather - Hailstorm,2013,6/21/2013,3:00 AM,6/26/2013,12:00 PM,Xcel Energy,Minnesota,MRO,Unknown,"193,000","193,000","severe weather, hail",Minnesota,Minnesota
Severe Weather - Hailstorm,2013,6/21/2013,5:39 PM,6/24/2013,6:00 AM,Xcel Energy,Minneapolis/St. Paul area Minnesota,MRO,Unknown,"400,000","400,000","severe weather, hail",Minneapolis/St. Paul area Minnesota,Minnesota
Physcial Attack; Vandalism,2013,6/20/2013,6:00 PM,6/21/2013,10:00 AM,Potomac Electric Power Co,"Richie Station (No. 123), Maryland",RFC,Unknown,Unknown,,"vandalism, physical","Richie Station (No. 123), Maryland",Maryland
Electrical System Separation (Islanding),2013,6/19/2013,7:57 PM,6/19/2013,8:09 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,Unknown,Unknown,,islanding,"Alberta, Canada",Canada
Electrical System Separation (Islanding),2013,6/18/2013,3:51 PM,6/18/2013,4:23 PM,Western Area Power Administration,Wyoming,WECC,6,Unknown,,islanding,Wyoming,Wyoming
Load Shed of 100+ MW Under Emergency Operational Policy,2013,6/17/2013,4:17 PM,6/17/2013,6:49 PM,Tampa Electric Co,Hillsborough County Florida,FRCC,180,37,37,load shedding,Hillsborough County Florida,Florida
Severe Weather - Thunderstorms,2013,6/13/2013,8:47 PM,6/14/2013,10:47 PM,Southern Company,Southern Company Territory,SERC,550,"165,798","165,798","severe weather, thunderstorm",Southern Company Territory,Southern Company Territory
Severe Weather - Thunderstorms,2013,6/13/2013,3:20 PM,6/14/2013,9:10 PM,American Electric Power,Ohio; Virginia; West Virginia,"RFC, SERC",Unknown,"90,247","90,247","severe weather, thunderstorm",Ohio; Virginia; West Virginia,West Virginia
Severe Weather - Thunderstorms,2013,6/13/2013,5:45 PM,6/14/2013,6:30 PM,Duke Energy Progress,Central and Eastern North Carolina,SERC,Unknown,"53,000","53,000","severe weather, thunderstorm",Central and Eastern North Carolina,North Carolina
Severe Weather - Thunderstorms,2013,6/13/2013,1:17 PM,6/14/2013,5:35 PM,Duke Energy Carolinas,Western Piedmont North Carolina,SERC,"1,000","175,000","175,000","severe weather, thunderstorm",Western Piedmont North Carolina,North Carolina
Severe Weather - Thunderstorms,2013,6/13/2013,4:08 PM,6/14/2013,5:16 PM,Dominion Virginia Power,"Richmond Metro area, Virginia",SERC,900,"283,000","283,000","severe weather, thunderstorm","Richmond Metro area, Virginia",Virginia
Loss of 300+ MW Load; Severe Weather - Thunderstorms,2013,6/13/2013,3:30 PM,6/13/2013,4:00 PM,Potomac Electric Power Company,District of Columbia; Maryland,RFC,700,"40,000","40,000","severe weather, thunderstorm",Washington DC,Washington
Electrical System Separation (Islanding),2013,6/3/2013,12:50 PM,6/3/2013,1:36 PM,WECC RC Vancouver,"Alberta, Canada",WECC,Unknown,Unknown,,islanding,"Alberta, Canada",Canada
Severe Weather - Thunderstorms,2013,5/31/2013,7:30 PM,6/1/2013,8:00 PM,Ameren Missouri,St. Louis Metro Area Missouri,SERC,Unknown,"100,000","100,000","severe weather, thunderstorm",St. Louis Metro Area Missouri,Missouri
